text,depressive
"In an overly sentimental and depressive mood as of late. I wish I had more people to talk about it with sometimes, but I know that my best medicine is to withdraw and process these emotions alone.",1
Happy Tuesday y'all! I'm so tired today lol!,1
love that I’m at the point of mental illness where when my brain is screaming at me that all life is pointless that translates as a whoopsie big sads,1
"Cronic insomnia, man. I don't recommend it. Total memory collapse and suicidal thoughts. The only thing that stays with you daily is the complete feeling of despair. On the plus side, I don't remember much of it.",1
"I spent decades not ovulating and having a period once a year, courtesy of PCOS. I started smoking weed, and magically all of that resolved - but let me discover that when my body works correctly I have PMDD, which makes me batshit insane.

Woke up to intrusive suicidal thoughts this morning. Fun.",1
"Think about this the next time you're voting for this hate @padilla.senate.gov. I have battled chronic suicidal thoughts my entire life, in no small part bc of transphobia in this country. If they win, I'm not going out quietly. People will see it happen. www.independent.co.uk/news/world/a...",1
I haven't wanted to die in years but now my suicidal thoughts are returning because of this election.,1
"No hope left, am completely financially screwed, SSD is taking forever, I really can't do this anymore. I wanna crawl into a hole and die",1
god i wish i was dead,1
"smacking myself in the face a few times to try and push myself to Be Interested in things again lest the depressive bad thoughts continue to take hold yet again

no you stupid idiot going into a depressive fog and shutting yourself out from your friends will NOT make you feel better",1
"I feel empty and dead inside.
HaH another random ass shower though.
It's fine, I'm fine.",1
"I really hate myself for this. I have breakdowns at work, days where I can’t do anything, I have suicidal thoughts, I hate myself and then when I have one mildly okay experience I’m convinced I’m a fraud.",1
"Corny things are the way I distract myself from suicidal thoughts, but I've been doing it for too long, which makes my brain associate them together. Now my corny feelings and suicidal thoughts come together, and that's so annoying because if I let the corny feelings out all it left is the bad stuff",1
got too stressed out then suicidal thoughts kicked in. cant mentally do anything except lying down with shortness of breath and felt asleep during it.,1
"Yesterday I had serious thoughts about planning a suicide attempt and now that I am less suicidal I am scared, concerned, overwhelmed and I don’t know what to do.",1
I feel humiliation and shame.,1
"they say these are the golden years 
but I wish that I could disappear",1
"I just hate my life. 
I hope something will end my life any day.",1
"I'm never going to enjoy or be apart of art my friends get to, and it makes me so fucking mad, I'm so envious I hate myself so much. I'm doing nothing am nothing I'm legit, I'm worthless in every single way. I'm never going to get better I'm fucked it'd be easier if I died, why am I suck a fuck up..",1
"I love when I get ignored so much lately I have to fucking stop talking in general and having suicidal thoughts 

yeah I rather just do it I’m tired of my own self, I don’t have any purpose being here because I’m just a fucking toy to everyone",1
I'm not dead even tho I wish I was,1
Wellbutrin gave me suicidal thoughts so of course it comes as a rope.,1
Not even been back to work a week and I wish I was dead again  normal,1
today is a big “i hate everyone and everything and i wish i was dead” day,1
"Hey mutuals, if you see me disappear for a couple weeks, the most likely reason is that I got sent to a mental hospital.

I'm starting to notice that I'm turning into more of a monster. My outbursts and suicidal thoughts have been more common and I'm running out of friends

Thanks for understanding.",1
I've never had like... suicidal thoughts before but they've come up enough times to the point where I think I need to speak with someone about it,1
I am becoming suicidal now.  I worked for my SS and Medicare for 52 years.  How are we sitting back and letting this happen?,1
"Don't worry. As you claw back something, those thoughts start to get more quiet.  I have dealt with suicidal thoughts my whole life too, and I now use their frequency as a measure of how bad I am mentally. They do get easier to manage as patterns change",1
"Yeah. <3 I'm pretty sure I can get most of it back and restart what I can't

But it's still a pretty big blow to my mental health ngl. I'll be okay eventually but I'm too tired rn.",1
"I feel that way with my business often and I can tell you it’s a really empty feeling. Really bad my guys. Kind of combo of  imposter syndrome , self loathing and feeling unworthy of social interaction. Awful awful feeling. Inside and outwardly.",1
I’m so fucking tired of beating myself down for the sake of others just for them to sit on my bloodied corpse.,1
"i dont know what i do
i just wanna kms cuz i dont feel comfortable being alive, I WANT TO MAKE MUSIC",1
"As a person with suicidal thoughts, I know what it feels like.

",1
"I’m sorry to hear that as well. It’s a very strange feeling for sure. I thought about her a fair bit, but basically it was as if she was already gone… but now that she really is gone… it’s just really sad.",1
i just realized i can't remember what her voice sounds like and now i feel so numb,1
