text,depressive
i can't even laugh at how sad this is.,1
i need to get a grip on my life bro everything just spiraling and i’m just going w the flow bc i’m tired of tryna fix everything when another problem arises,1
i’m just sick & tired of everything.,1
i just can’t take it anymore.,1
loving halloween and having depression feels so cursed  what do you mean it’s my favorite day/holiday but i feel empty inside ,1
that's so sad.,1
i’m really tired of going through things and being strong and whatever else i tell myself so i don’t have a mental breakdown about everything. i need next year to be better because i can’t take it. i feel it in my body now and it’s exhausting.,1
great feeling,1
why cant i feel anything other than emptyness,1
"hi besties

sorry i haven’t been active much lately. i’ve been sick and feeling really not great for the last week. hopefully i’ll start feeling better this week ",1
"i'll try, but i don't want to be here anymore. i've been beat down and mistreated my entire life and now its only going to get worse across the board. i can't afford to go anywhere else, so i'm trapped in a sinking ship with no way off. i'll try, but i so desperately want to end it.",1
god i just want to be swallowed up by the earth and disappear,1
"goodnight, friends. having an early one tonight because i am not feeling great.",1
that’s it. i give up. nothing matters anymore.,1
"but yeah
if i end up taking everything down from my insta am not gonna move anywhere else
i feel like there isn't much of a point
and i'm tired of this stupid game that's going on",1
i hate myself i want to disappear,1
"i’ve had company this entire week and i haven’t been able to read my book in the mornings, i feel empty  ",1
"at this point, i don't want anything anymore.

usually people associate suicidality with emotion and affect. but i feel incredibly calm. and i don't want to die out of rage at the world or self-loathing.

i just need to disappear. because i want absolutely nothing more from this physical reality.",1
i don’t want to rest. i want to disappear,1
i’m so tired of crying i’m so tired of waking up w headaches i just wanna not have to work so hard for literally everything ,1
"so a cool* thing about depression is how it can make me completely incapable of anticipating or feeling any sense of reward from any activity!

it makes for a great** combination with post-viral fatigue syndrome making almost any activity feel tiring.

*terrible
**terrible",1
i honestly don't know how i feel about this.,1
"kinda wish i could just find someone i could be happy with. only kinda. not desperate at all.  nope. certainly don't feel empty rn. absolutely no melancholy here. nuh-uh. not an ounce of jealousy or sadness. tired of just floating through life, all while trying to enjoy it? can't be me!",1
i wish i could just hibernate. i'm tired of everything that life keeps throwing at me.,1
"i don’t feel like i deserve anything i have to be honest. i don’t just mean things like relationships, i mean anything. i don’t feel like i deserve the computer i have, the people that love me, or even the food i eat everyday. i feel worthless, more so recently than usual but i don’t know why.",1
i am feeling very useless as a human being rn,1
"after something big happens in my life i feel so empty 

i was looking forward to that show for five months and now that it’s over i feel… empty again.",1
"i give up on everything. i tried to get up and do things today but i literally fell to the ground and just laid there crying for 10 minutes. i need a break. i’m tired of pushing, i’m tired of climbing uphill everyday just to survive. i need a break",1
"i want to disappear 

i don't know what i should do, could it be me who is the problem?",1
"so being frequently low-key depressed is less crappy than having more severe depression, but tbh, i didn't used to get depressed this often and bah...
it's probably pretty much that half the country's legislators want me and mine to disappear, & a bunch of folks who voted for them are down with that",1
"i’m just so done. i can’t keep having nights like this. i don’t know what i’m doing and some nights i just want to burn every little vestige of me and disappear. it’s truly unbearable some nights and i just, i need something to change but somehow this is the biggest constant of my life",1
"everytime anxiety gets so loud, and i don't want to go for self destructive coping mechanisms, the urge to delete everything and disappear gets bigger (it's also a bad coping mechanism)",1
"i was a bit wtf? because it was as if nearly everything had died, and i was walking through emptyness. but i wasnt .....but it was quite peculiar .",1
"at what point do i just give up on everything?
i’m tired of all of it.",1
i'm just always tired. regardless of everything,1
i’m so tired of feeling like i’m supposed to have an opinion on everything. i have decided to no longer have any opinions on anything. gonna give my brain a rest,1
"i just want a bit of a giggle, chat and light stuff. 
if it keeps going this way i will disappear. i can’t do much and i don’t want to read gravy stuff to lower my mood even more",1
not feeling great about things,1
"i feel like i'm in shock.

just... shaky, nauseated a little, stunned.

i can't process what happened.

i don't know what's next.

i feel emptyness.",1
three of every four posts on here.  every discord i'm in.  every group chat i'm in.  everything.  it's constant and i'm so tired.,1
"i'm so fucking tired of being so exhausted all the fucking time, i feel like its putting some of my most important connections at risk and i can't to shit but watch everything crumble",1
everything in life lately has felt either sad or terrifying or both at the same time & i just want to disappear into a forest and live off grid. i am tired,1
i feel so empty.,1
"for me, depression isn't feeling constantly sad, it's constantly feeling a lack of emotion. it feels like there's a hole in my chest that i can't fill. just this empty void of emotionless... nothing. 

i desperately just want to feel something. anything. something beyond passive things.",1
"i’m sad, scared, angry, and so fucking tired.

i also feel like i should have something to say about *gestures at everything* but i really don’t.

i literally just want to share silly stuff and pictures of my critters. not deal with the bullshit.",1
 i spend a lot of time feeling useless!,1
"there’s a particular kind of tired when i’m completely tapped out emotionally.

it happened after my mom died. after the hospital and the funeral. when everything was quiet and still.

i’m feeling that now. and it is temporary.",1
feeling useless about stuff that's out of my control. just wish i could do more to help,1
why am i posting here? no one will see this. no one will care. no one does care. i want to disappear forever and be gone.,1
"i'm tired of everything being so difficult. i just wanted an easy, relaxing day. oof",1
"feeling absolutely over the hill right now. not just struggling with myself, but entirely undesirable, unloveable, unwanted... self esteem is through the floor. 
can't even begin to articulate how empty, how broken i feel.
i struggle sometimes, i'm too much &never good  enough",1
"feel creatively empty and also that i'm isolated from the people i care about and i don't know why.
like my brain is trying to fall out ",1
i'm struggling with every aspect of life. i have pulled away or trashed every relationship in my life. i'm too tired to go forward and too afraid to stop moving. i am alone and i've tried everything. what do i do when i do not know where to turn?,1
honestly i kind of want to quit social media altogether and disappear,1
i’m not feeling great,1
"an uncle of mine passed away today. combined with everything, i just want to curl up into a ball, cry, and maybe disappear, or not have to be me for a change.",1
"i want to disappear into a book and never come back out. 
#reading #books #booksky",1
toby…please…save us from this insanity…i can’t take it anymore…,1
"you're right, fen. i appreciate your wisdom and words. this isn't about that, and i can't really talk about what it is. 

i'm just tired, and i feel empty.",1
i really can’t take it anymore,1
"always  it was about 6 and half months ago i started hrt, before that i felt the emptyness and that just something wasn't right all the time, just not feeling. now that feels like a lifetime ago. i get to be me now and i've never been happier.",1
"i'm trying to learn how to hope again this year. 

but i have to tell y'all, it's genuinely scary. 

burying all of my desires and dreams protected me for so long, i don't really know how to do this anymore. maybe i'll start by admitting something to you here: 

i want to be wanted. and pursued.",1
"i should probably get up but i don't want to.... i'm still so tired of everything.
but i'm also hungry. i want to test out the cold weather gear at some point too.
but i'm so tired and drained.
i feel guilty that i've been doing so little lately but i'm also in a constant state of can't deal",1
"i’m going about my day, but i’m not all here. it’s as if i am outside of my body observing and experiencing everything i do at some kind of distance. it’s like the signals between body and soul have encountered interference. i don’t feel what i normally do, kinda just numb and tired.",1
"maybe if i grind out a little more time, my work will come back with everything i've asked for and we can try to set it right. but i don't have a good feeling about that. but searching a new job and starting over is just more fights. i'm so tired of fighting. i just wanna live.",1
"once again feeling bad, dumb and useless",1
"i feel weird today. kind of empty and alone. i want to have more thoughts about it, but i can't generate them.",1
"just getting worn down by the frustration of having to pay a quarter of my income to go to the job that i need so that i can pay half my income to avoid homelessness, and then still go into the red every month because the other quarter of my income doesn't cover everything else.

and i'm so tired.",1
huh why do i feel empty,1
i feel so empty? i dunno. unwanted maybe...,1
"the thing they don't really tell you about direct grief is how utterly paralyzing it is. i'm going through the motions and doing the things i need to do, but my heart is just empty and i feel pointless. 
and of course *gestures wildly* none of this helps either.",1
"ill admit, i am starting to feel real fucking useless screaming into the internet void.
i want to quit my fuckin job and go to dc, live outside the capital in a state of 24/7protest.
the phone calls/boycotts etc arent helping me shake this feeling of helplessness.",1
i hate this week. monday was great and every day after that has just been getting worse. i'm so tired of everything.,1
"welp, there goes me good mood. i’m so tired of everything all at once all the time and living with my dad is not helping.",1
i can’t take it anymore!!!,1
"for years i was told so many of my problems were weight related and lol nope. never were. i hate that that’s still something they blame everything on. i stop listening if they say it now. 

but yeah i’m also constantly tired and if sucks so much.",1
"i need to say it and then i’ll shut up:

i’m so tired of being in pain. it affects everything i do. some days i cry in the car, some days i’m rude to strangers, some days i scream into pillows. i never let it show & 95% of those closest to me don’t know i’m suffering. 

ok, back to warrior mode.

",1
i seriously feel so empty in the pit of my stomach right now.  so hard to process…,1
i am on break but i still feel so so so empty and so hollow and when will this feeling end,1
i feel empty and deflated,1
i can’t take it anymore!!!!,1
"i'm not feeling great today, idk why. negative spoons, can't carry on a conversation. i'll respond to people later tonight or probably tomorrow ",1
"i keep feeling pretty broken, useless and like this will just make me even more undesirable.

hard to really get my confidence out of the gutter.",1
"i'm sorry y'all, but i'm probably going to cancel today's stream. i got some things going on and i'm just not feeling great.",1
